난이도,문제,문제내용,게시자,해답
Lv. 1,Duplicate Numbers,"
일전에 뭐 게임 회사에서 본 간단한 퀴즈 테스트 입니다.
0~9까지의 문자로 된 숫자를 입력 받았을 때, 이 입력 값이 0~9까지의 숫자가 각각 한 번 씩만 사용된 것인지 확인하는 함수를 구하시오.


sample inputs:
0123456789
01234
01234567890
6789012345
012322456789


sample outputs:
true
false
false
true
false


",Byam_Gyu,"
python 2.7.8입니다. 
입력값을 sorting해서 0123456789 와 비교하는 방법을 썼습니다.
n = [''.join(sorted(x)) for x in raw_input().split()]
for x in n:
    print ""true"" if x==""0123456789"" else ""false"",

"
Lv. 1,가성비 최대화,"
기계를 구입하려 하는데 이 기계는 추가 부품을 장착할 수 있다.
추가 부품은 종류당 하나씩만 장착 가능하고, 모든 추가 부품은 동일한 가격을 가진다.
원래 기계의 가격과 성능, 추가 부품의 가격과 각 부품의 성능이 주어졌을 때, 추가 부품을 장착하여 얻을 수 있는 최대 가성비를 정수 부분까지 구하시오(가격 및 성능은 상대적인 값으로 수치화되어 주어진다).
e.g.)
원래 기계의 가격 : 10
원래 기계의 성능 : 150
추가 부품의 가격 : 3
추가 부품의 성능 : 각각 30, 70, 15, 40, 65
추가 부품을 장착하여 얻을 수 있는 최대 가성비 : 17.81... → 17
(성능이 70과 65인 부품을 장착하면 됨)
",김호현,"
orp = 10
org = 150
adp = 3
adg = [30, 70, 15, 40, 65]

adg.sort(reverse=True)

for i in adg :
    if  org / orp > ( org + i ) / ( orp + adp )  :
        break
    else : org += i ; orp += adp 

print int( org / orp )


"
Lv. 1,h-index & g-index,"
연구자의 연구업적을 평가할 때 사용되는 지표 중 h-index와 g-index라는 것이 있다.

h-index : 인용 횟수가 h번 이상인 논문이 h개일 때 가능한 h의 최댓값
g-index : 인용 횟수가 높은 상위 g개 논문의 인용 횟수 총합이 g²이상일 때 가능한 g의 최댓값

어떤 학자가 쓴 논문 각각의 인용 횟수가 주어질 때, h-index와 g-index를 계산하시오.
e.g.)

입력 : 0 15 4 0 7 10 0
h-index : 4
g-index : 6

",임지호,"
# 한글 처리 in Atom 1.21.1 + Anaconda(Python 3.6.3)
import sys
import io

sys.stdout = io.TextIOWrapper(sys.stdout.detach(), encoding='utf-8')
sys.stderr = io.TextIOWrapper(sys.stderr.detach(), encoding='utf-8')

# 연구자의 연구업적을 평가할 때 사용되는 지표 중 h-index와 g-index라는 것이 있다.
# h-index : 인용 횟수가 h번 이상인 논문이 h개일 때 가능한 h의 최댓값
# g-index : 인용 횟수가 높은 상위 g개 논문의 인용 횟수 총합이 g²이상일 때 가능한 g의 최댓값
# 어떤 학자가 쓴 논문 각각의 인용 횟수가 주어질 때, h-index와 g-index를 계산하시오.

quotations = [0, 15, 4, 0, 7, 10, 0]

# h-index
for h in range(min(max(quotations), len(quotations)), 0, -1):
    count = 0
    for number in quotations:
        if number >= h:
            count += 1
    if count == h:
        print(""h-index ="", h)
        break

# g-index
quotations.sort(reverse=True)
for g in range(len(quotations), 0, - 1):
    if sum(quotations[0:g]) >= g**2:
        print(""g-index ="", g)
        break


"
Lv. 1,Printing OXs,"
(앞의 문제들 중 비슷한 알고리즘이 있던 것 같지만, 같은 건 없다고 생각해서 올립니다.)
input은 int n을 입력 받아 첫번째 row는 (n-1)의 O와 X, 두번째 row는 (n-2)의 O와 XX, 세번째 row는 (n-3)의 0와 XXX... n번째 row는 n의 X을 출력하시오.
입력 예시: 6
출력 예시:

OOOOOX
OOOOXX
OOOXXX
OOXXXX
OXXXXX
XXXXXX

",Byam_Gyu,"
Python 2.7입니다.
def input_num(n):
    for i in range(1,n+1):
        print (""O"" * (n-i) + (""X"" * i))

input_num(6)

OOOOOX
OOOOXX
OOOXXX
OOXXXX
OXXXXX
XXXXXX
"
Lv. 1,버전비교,"
A씨는 두 개의 버전을 비교하는 프로그램을 작성해야 한다.
버전은 다음처럼 ""."" 으로 구분된 문자열이다.
버전 예) 1.0.0, 1.0.23, 1.1
두 개의 버전을 비교하는 프로그램을 작성하시오.
다음은 버전 비교의 예이다.
0.0.2 > 0.0.1
1.0.10 > 1.0.3
1.2.0 > 1.1.99
1.1 > 1.0.1

",715,"
파이썬입니다
from itertools import zip_longest

def compare(left, right):
    left_vars = map(int, left.split('.'))
    right_vars = map(int, right.split('.'))
    for a, b in zip_longest(left_vars, right_vars, fillvalue = 0):
        if a > b:
            return '>'
        elif a < b:
            return '<'
    return '='

CASES = [['0.0.2', '0.0.1'],
         ['1.0.10', '1.0.3'],
         ['1.2.0', '1.1.99'],
         ['1.1', '1.0.1']]

if __name__ == '__main__':
    for case in CASES:
        print('{0[0]} {1} {0[1]}'.format(case, compare(*case)))

"
Lv. 1,1~1000에서 각 숫자의 개수 구하기,"
예로 10 ~ 15 까지의 각 숫자의 개수를 구해보자  
10 = 1, 0
11 = 1, 1
12 = 1, 2
13 = 1, 3
14 = 1, 4
15 = 1, 5  
그러므로 이 경우의 답은 0:1개, 1:7개, 2:1개, 3:1개, 4:1개, 5:1개
",황예환,"
파이썬3.4
from collections import defaultdict

d = defaultdict(int)
for n in range(1, 1001):
    for x in str(n):
        d[x] += 1

print(d)

"
Lv. 1,10~1000까지 각 숫자 분해하여 곱하기의 전체 합 구하기,"
예로, 10~15까지의 각 숫자 분해하여 곱하기의 전체 합은 다음과 같다.  
10 = 1 * 0 = 0
11 = 1 * 1 = 1
12 = 1 * 2 = 2
13 = 1 * 3 = 3
14 = 1 * 4 = 4
15 = 1 * 5 = 5  
그러므로, 이 경우의 답은 0+1+2+3+4+5 = 15
",Byam_Gyu,"
파이썬 3.5.1
print(sum(eval('*'.join(str(x))) for x in range(10,1001)))

C++
#include <iostream>
using namespace std;

int main(){
  int result;
  for(int x=0;x<=990;x++){
    string st = to_string(x+10);
    int temp = 1;
    for(int y=0; y<st.length(); y++){
        temp *= st.at(y) - '0';
    }
    result += temp;
  }
  cout << result;
    return 0;
}

자바
public class MyClass {
    public static void main(String[] args){
        String[] list = new String[991];
        int result = 0;
        for(int x = 10; x < 1001; x++){
            list[x-10] = """"+x;
        }
        for(String i:list){
            char[] temp = i.toCharArray();
            int mul = 1;
            for(char j:temp){
                mul *= Character.getNumericValue(j);
            }
            result += mul;
        }
        System.out.println(result);
    }
}

저 루비로 짠 코드를 보고 어떻게 하면 더 짧아질려나 한참을 고민했습니다. 합성함수를 연속으로 하지도 못하고...
"
Lv. 1,Dash Insert,"
DashInsert 함수는 숫자로 구성된 문자열을 입력받은 뒤, 문자열 내에서 홀수가 연속되면 두 수 사이에 - 를 추가하고, 짝수가 연속되면 * 를 추가하는 기능을 갖고 있다. (예, 454 => 454, 4546793 => 454*67-9-3) DashInsert 함수를 완성하자. 출처

입력 - 화면에서 숫자로 된 문자열을 입력받는다.

""4546793""


출력 - *, -가 적절히 추가된 문자열을 화면에 출력한다.

""454*67-9-3""

",DARK4Hoon,"
import re
print(re.sub(r'(([02468]{2,})|([13579]{2,}))', lambda x:'*'.join(x.group(2)) if x.group(2) else '-'.join(x.group(3)), input("":"")))


Python 3.5.2에서 작성하였습니다.
"
Lv. 1,완전수 구하기,"
자기 자신을 제외한 모든 양의 약수들의 합이 자기 자신이 되는 자연수를 완전수라고 한다. 예를 들면, 6과 28은 완전수이다.
6=1+2+3        // 1,2,3은 각각 6의 약수
28=1+2+4+7+14  // 1,2,4,7,14는 각각 28의 약수
입력으로 자연수 N을 받고, 출력으로 N 이하의 모든 완전수를 출력하는 코드를 작성하라.
",강승규,"
파이썬 3로 짧게 구현해봤습니다.
num= int(input(""숫자를 입력하시오 : ""))
print([x for x in range(1, num+1) if x==sum(y for y in range(1, x) if x%y==0)])

"
Lv. 1,Even Fibonacci numbers,"
출처 : 프로젝트 오일러 2번문제, 한글 번역판

피보나치 수열의 각 항은 바로 앞의 항 두 개를 더한 것이 됩니다. 1과 2로 시작하는 경우 이 수열은 아래와 같습니다.
1, 2, 3, 5, 8, 13, 21, 34, 55, 89, ... 
짝수이면서 4백만 이하인 모든 항을 더하면 얼마가 됩니까?
",김영성,"
    public static void main(String[] args) {
        ArrayList<Integer> list = new ArrayList<>();
        list.add(1);
        list.add(2);
        for(int i=1;;i++){//피보나치 수열을 list에 저장 list에 들어간 값이 400만을 넘으면 멈춤
            list.add(list.get(i-1)+list.get(i));
            if(list.get(i-1)+list.get(i)>4000000)
                break;
        }

        list.remove(list.get(list.size()-1));//list에 마지막 인덱스 값을 제거(400만 넘으니깐)
        int sum=0;
        for(int i=0;i<list.size();i++){//짝수인 총합
            if(list.get(i)%2==0)
                sum+=list.get(i);
        }
        System.out.println(sum);


    }


답은 4613732
"
